,precision,recall,f1-score,support
airplane,0.3898,0.5750,0.4646,40.0000
breathing,0.3333,0.3500,0.3415,40.0000
brushing_teeth,0.4314,0.5500,0.4835,40.0000
can_opening,0.3968,0.6250,0.4854,40.0000
car_horn,0.2941,0.3750,0.3297,40.0000
cat,0.3778,0.4250,0.4000,40.0000
chainsaw,0.3529,0.3000,0.3243,40.0000
chirping_birds,0.5714,0.4000,0.4706,40.0000
church_bells,0.3750,0.4500,0.4091,40.0000
clapping,0.3623,0.6250,0.4587,40.0000
clock_alarm,0.8571,0.3000,0.4444,40.0000
clock_tick,0.2000,0.1000,0.1333,40.0000
coughing,0.3684,0.3500,0.3590,40.0000
cow,0.6333,0.4750,0.5429,40.0000
crackling_fire,0.4154,0.6750,0.5143,40.0000
crickets,0.9286,0.3250,0.4815,40.0000
crow,0.6842,0.3250,0.4407,40.0000
crying_baby,0.5238,0.5500,0.5366,40.0000
dog,0.5000,0.4750,0.4872,40.0000
door_wood_creaks,0.4400,0.2750,0.3385,40.0000
door_wood_knock,0.5882,0.7500,0.6593,40.0000
drinking_sipping,0.2857,0.5000,0.3636,40.0000
engine,0.5833,0.3500,0.4375,40.0000
fireworks,0.5283,0.7000,0.6022,40.0000
footsteps,0.2500,0.5500,0.3438,40.0000
frog,1.0000,0.5250,0.6885,40.0000
glass_breaking,0.6154,0.8000,0.6957,40.0000
hand_saw,0.2927,0.3000,0.2963,40.0000
helicopter,0.5600,0.3500,0.4308,40.0000
hen,0.5161,0.4000,0.4507,40.0000
insects,0.3818,0.5250,0.4421,40.0000
keyboard_typing,0.2973,0.2750,0.2857,40.0000
laughing,0.2857,0.2000,0.2353,40.0000
mouse_click,0.1818,0.0500,0.0784,40.0000
pig,0.4038,0.5250,0.4565,40.0000
pouring_water,0.5581,0.6000,0.5783,40.0000
rain,0.4923,0.8000,0.6095,40.0000
rooster,0.7812,0.6250,0.6944,40.0000
sea_waves,0.4203,0.7250,0.5321,40.0000
sheep,0.7105,0.6750,0.6923,40.0000
siren,0.8824,0.3750,0.5263,40.0000
sneezing,0.3621,0.5250,0.4286,40.0000
snoring,0.6000,0.1500,0.2400,40.0000
thunderstorm,0.7436,0.7250,0.7342,40.0000
toilet_flush,0.3333,0.3750,0.3529,40.0000
train,0.4737,0.6750,0.5567,40.0000
vacuum_cleaner,0.6250,0.3750,0.4688,40.0000
washing_machine,0.3571,0.1250,0.1852,40.0000
water_drops,0.3077,0.2000,0.2424,40.0000
wind,0.5862,0.4250,0.4928,40.0000
accuracy,0.4540,0.4540,0.4540,0.4540
macro avg,0.4888,0.4540,0.4449,2000.0000
weighted avg,0.4888,0.4540,0.4449,2000.0000
