,precision,recall,f1-score,support
airplane,0.5106,0.6000,0.5517,40.0000
breathing,0.6000,0.4500,0.5143,40.0000
brushing_teeth,0.7105,0.6750,0.6923,40.0000
can_opening,0.5714,0.6000,0.5854,40.0000
car_horn,0.4167,0.2500,0.3125,40.0000
cat,0.7586,0.5500,0.6377,40.0000
chainsaw,0.4474,0.4250,0.4359,40.0000
chirping_birds,0.7234,0.8500,0.7816,40.0000
church_bells,0.4130,0.4750,0.4419,40.0000
clapping,0.6585,0.6750,0.6667,40.0000
clock_alarm,0.8800,0.5500,0.6769,40.0000
clock_tick,0.3043,0.1750,0.2222,40.0000
coughing,0.3529,0.3000,0.3243,40.0000
cow,0.5714,0.5000,0.5333,40.0000
crackling_fire,0.5714,0.7000,0.6292,40.0000
crickets,0.7436,0.7250,0.7342,40.0000
crow,0.6957,0.4000,0.5079,40.0000
crying_baby,0.5517,0.8000,0.6531,40.0000
dog,0.5122,0.5250,0.5185,40.0000
door_wood_creaks,0.6667,0.3500,0.4590,40.0000
door_wood_knock,0.5818,0.8000,0.6737,40.0000
drinking_sipping,0.4340,0.5750,0.4946,40.0000
engine,0.4483,0.3250,0.3768,40.0000
fireworks,0.6078,0.7750,0.6813,40.0000
footsteps,0.4444,0.6000,0.5106,40.0000
frog,0.8571,0.7500,0.8000,40.0000
glass_breaking,0.6538,0.8500,0.7391,40.0000
hand_saw,0.4146,0.4250,0.4198,40.0000
helicopter,0.3571,0.2500,0.2941,40.0000
hen,0.5667,0.4250,0.4857,40.0000
insects,0.6333,0.4750,0.5429,40.0000
keyboard_typing,0.5366,0.5500,0.5432,40.0000
laughing,0.3667,0.2750,0.3143,40.0000
mouse_click,0.3750,0.3000,0.3333,40.0000
pig,0.6364,0.7000,0.6667,40.0000
pouring_water,0.5306,0.6500,0.5843,40.0000
rain,0.5652,0.6500,0.6047,40.0000
rooster,0.5893,0.8250,0.6875,40.0000
sea_waves,0.5957,0.7000,0.6437,40.0000
sheep,0.5789,0.5500,0.5641,40.0000
siren,0.7419,0.5750,0.6479,40.0000
sneezing,0.4462,0.7250,0.5524,40.0000
snoring,0.4750,0.4750,0.4750,40.0000
thunderstorm,0.7600,0.9500,0.8444,40.0000
toilet_flush,0.4561,0.6500,0.5361,40.0000
train,0.5319,0.6250,0.5747,40.0000
vacuum_cleaner,0.6585,0.6750,0.6667,40.0000
washing_machine,0.5357,0.3750,0.4412,40.0000
water_drops,0.4762,0.2500,0.3279,40.0000
wind,0.5102,0.6250,0.5618,40.0000
accuracy,0.5590,0.5590,0.5590,0.5590
macro avg,0.5605,0.5590,0.5493,2000.0000
weighted avg,0.5605,0.5590,0.5493,2000.0000
