,precision,recall,f1-score,support
airplane,0.7500,0.7500,0.7500,40.0000
breathing,0.6250,0.6250,0.6250,40.0000
brushing_teeth,0.7436,0.7250,0.7342,40.0000
can_opening,0.6341,0.6500,0.6420,40.0000
car_horn,0.4706,0.4000,0.4324,40.0000
cat,0.7000,0.7000,0.7000,40.0000
chainsaw,0.5263,0.5000,0.5128,40.0000
chirping_birds,0.6889,0.7750,0.7294,40.0000
church_bells,0.6154,0.6000,0.6076,40.0000
clapping,0.7381,0.7750,0.7561,40.0000
clock_alarm,0.6327,0.7750,0.6966,40.0000
clock_tick,0.3478,0.2000,0.2540,40.0000
coughing,0.3404,0.4000,0.3678,40.0000
cow,0.6579,0.6250,0.6410,40.0000
crackling_fire,0.7381,0.7750,0.7561,40.0000
crickets,0.6923,0.6750,0.6835,40.0000
crow,0.7353,0.6250,0.6757,40.0000
crying_baby,0.6512,0.7000,0.6747,40.0000
dog,0.6757,0.6250,0.6494,40.0000
door_wood_creaks,0.5714,0.5000,0.5333,40.0000
door_wood_knock,0.6250,0.7500,0.6818,40.0000
drinking_sipping,0.5000,0.5500,0.5238,40.0000
engine,0.5854,0.6000,0.5926,40.0000
fireworks,0.7838,0.7250,0.7532,40.0000
footsteps,0.4237,0.6250,0.5051,40.0000
frog,0.8857,0.7750,0.8267,40.0000
glass_breaking,0.7021,0.8250,0.7586,40.0000
hand_saw,0.3878,0.4750,0.4270,40.0000
helicopter,0.4103,0.4000,0.4051,40.0000
hen,0.5854,0.6000,0.5926,40.0000
insects,0.4783,0.5500,0.5116,40.0000
keyboard_typing,0.5250,0.5250,0.5250,40.0000
laughing,0.3333,0.3500,0.3415,40.0000
mouse_click,0.4762,0.5000,0.4878,40.0000
pig,0.7179,0.7000,0.7089,40.0000
pouring_water,0.6809,0.8000,0.7356,40.0000
rain,0.7000,0.7000,0.7000,40.0000
rooster,0.7778,0.7000,0.7368,40.0000
sea_waves,0.7111,0.8000,0.7529,40.0000
sheep,0.7838,0.7250,0.7532,40.0000
siren,0.8667,0.6500,0.7429,40.0000
sneezing,0.5833,0.7000,0.6364,40.0000
snoring,0.6667,0.5500,0.6027,40.0000
thunderstorm,0.9091,1.0000,0.9524,40.0000
toilet_flush,0.5526,0.5250,0.5385,40.0000
train,0.6500,0.6500,0.6500,40.0000
vacuum_cleaner,0.6875,0.5500,0.6111,40.0000
washing_machine,0.5312,0.4250,0.4722,40.0000
water_drops,0.6250,0.5000,0.5556,40.0000
wind,0.7188,0.5750,0.6389,40.0000
accuracy,0.6240,0.6240,0.6240,0.6240
macro avg,0.6280,0.6240,0.6228,2000.0000
weighted avg,0.6280,0.6240,0.6228,2000.0000
